representation,dataset_a,dataset_b,distance
untrained,IXI,BGSP,0.5563124008748053
untrained,IXI,BraTS25-MEN,0.4608840094922484
untrained,IXI,BraTS25-MET,0.4272385941343332
untrained,IXI,BraTS25-SSA,0.46284595270950585
untrained,IXI,BrainMetShare,0.5237957824369307
untrained,IXI,EPISURG,0.5110816034480857
untrained,IXI,ISLES22,0.4724226788495033
untrained,IXI,IXI,0.0
untrained,IXI,MS-60,0.6157212666339931
untrained,IXI,MSLesSeg,0.5167595613412443
untrained,IXI,NFBS,0.5797657179191691
untrained,IXI,NSK-GBM,0.5909317368442092
untrained,IXI,OASIS-1,0.5326676824929426
untrained,IXI,OASIS-2,0.5257097300109798
untrained,IXI,UMF-PD,0.6303566462699633
untrained,IXI,UPENN-GBM,0.5083820615940211
untrained,MS-60,3D-MR-MS,0.7301050870060243
untrained,MS-60,BGSP,0.6594168400852476
untrained,MS-60,BraTS25-MEN,0.5718981662743462
untrained,MS-60,BraTS25-MET,0.5397804395087422
untrained,MS-60,BraTS25-SSA,0.5737693379745684
untrained,MS-60,BrainMetShare,0.620460748639527
untrained,MS-60,EPISURG,0.617745533254081
untrained,MS-60,ISLES22,0.5774746402448417
untrained,MS-60,IXI,0.6157212666339931
untrained,MS-60,MS-60,0.0
untrained,MS-60,MSLesSeg,0.614592921323852
untrained,MS-60,NFBS,0.6611728684477364
untrained,MS-60,NSK-GBM,0.6913200836966541
untrained,MS-60,OASIS-1,0.6297559799012931
untrained,MS-60,OASIS-2,0.6308240807644935
untrained,MS-60,UMF-PD,0.7287233639300696
untrained,MS-60,UPENN-GBM,0.6182211900148824
untrained,MSLesSeg,3D-MR-MS,0.6635620728986993
untrained,MSLesSeg,BGSP,0.5684413230647943
untrained,MSLesSeg,BraTS25-MEN,0.4555303945204152
untrained,MSLesSeg,BraTS25-MET,0.4235898025008335
untrained,MSLesSeg,BraTS25-SSA,0.4555232254673839
untrained,MSLesSeg,BrainMetShare,0.5164055584736102
untrained,MSLesSeg,EPISURG,0.5188922026569234
untrained,MSLesSeg,ISLES22,0.46717859025789465
untrained,MSLesSeg,IXI,0.5167595613412443
untrained,MSLesSeg,MS-60,0.614592921323852
untrained,MSLesSeg,MSLesSeg,0.0
untrained,MSLesSeg,NFBS,0.5772190472107437
untrained,MSLesSeg,NSK-GBM,0.5962677875276381
untrained,MSLesSeg,OASIS-1,0.5329222923684953
untrained,MSLesSeg,OASIS-2,0.534925467431977
untrained,MSLesSeg,UMF-PD,0.6473370495163869
untrained,MSLesSeg,UPENN-GBM,0.523138280850811
untrained,NFBS,3D-MR-MS,0.6994541521318671
untrained,NFBS,BGSP,0.6202072860832223
untrained,NFBS,BraTS25-MEN,0.5518098130758528
untrained,NFBS,BraTS25-MET,0.4768398436072701
untrained,NFBS,BraTS25-SSA,0.48511488559985844
untrained,NFBS,BrainMetShare,0.5717627820148139
untrained,NFBS,EPISURG,0.5724990148643053
untrained,NFBS,ISLES22,0.4003580428619796
untrained,NFBS,IXI,0.5797657179191691
untrained,NFBS,MS-60,0.6611728684477364
untrained,NFBS,MSLesSeg,0.5772190472107437
untrained,NFBS,NFBS,0.0
untrained,NFBS,NSK-GBM,0.653236623609924
untrained,NFBS,OASIS-1,0.5895706718338953
untrained,NFBS,OASIS-2,0.5863231033699401
untrained,NFBS,UMF-PD,0.6790258209574749
untrained,NFBS,UPENN-GBM,0.5756666971118768
